Protein.ID	Control-Symbiosome_PValue	Control-Symbiosome_AdjPVal	Control-Symbiosome_log2FoldChange	featureAvg	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity
AIPGENE10493	6.66817844637797e-05	0.000249098620123315	1.59972117197185	26.8950705266587	27.1803277454444	27.4297086993841	27.5194912751377	27.5717648383467	28.0646735212838	27.9673330039151	25.489214454616	25.8682107746001	26.912310967218	25.6925829365726	26.1501575767273	NA
AIPGENE10494	0.00468944210737877	0.00976967105703911	1.7260870295657	25.3919249474979	26.0935764207772	26.1632461705951	25.8774833005724	26.0664390723607	25.3637682061063	26.2392105737073	22.8807941028155	24.1439732743076	25.6988334062393	NA	NA	NA
AIPGENE10504	3.16768945666643e-10	8.23599258733272e-09	-2.99117827725344	27.8509981189073	26.2875080270992	26.0521328724508	26.2977804086081	26.2369122017463	26.7183821644465	26.5397382073327	29.8006755478688	29.0946557743763	29.4161318516804	29.272164856809	29.2889723931957	29.206923121274
AIPGENE10518	NA	NA	NA	NA	23.4100255816436	25.0422157524273	24.7005722309845	25.6351662926089	25.0814410506749	25.4209620383284	NA	NA	NA	NA	NA	NA
AIPGENE10519	0.17874660962017	0.230166037133811	0.378032363925179	23.9110787142165	24.8058879217021	24.3687818473016	24.17164013025	23.5712853460386	23.5455478706091	24.0343265255569	24.144182679809	23.7439996716151	23.4628530351737	NA	23.6148842788705	23.5584765494544
AIPGENE1052	NA	NA	NA	NA	20.6044475665919	20.4812666504082	20.7379339395109	NA	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10527	NA	NA	NA	NA	25.3617308420872	23.7811511343622	24.4511909796581	24.147275803843	26.2125484379791	NA	NA	NA	NA	NA	NA	NA
AIPGENE10529	NA	NA	NA	NA	20.2300858424946	22.3574978191171	23.0552621341884	23.2646282616832	22.8766724755575	22.478474830972	NA	NA	NA	NA	NA	NA
AIPGENE10532	NA	NA	NA	NA	24.0469122041005	23.4688281433598	23.8836038775774	24.7003169304603	24.4846957395456	23.386125153881	NA	NA	NA	NA	NA	NA
AIPGENE10535	NA	NA	NA	NA	24.352002454542	25.688790656448	25.1219673497519	25.5464773592183	25.1459914322495	25.3038763296985	NA	NA	NA	NA	NA	NA
AIPGENE10546	NA	NA	NA	NA	21.6749218577572	NA	NA	22.2499283478337	NA	NA	NA	NA	NA	NA	NA	NA
AIPGENE10560	NA	NA	NA	NA	23.6954887337211	24.1504205609669	23.4009299117796	22.7894402004484	22.7046158241901	24.0432765642858	NA	NA	NA	NA	NA	NA
AIPGENE10564	3.3757208065118e-06	1.87540044806211e-05	-1.88563068541315	25.2038430382203	24.3633593190342	23.4312032014922	23.955685961612	24.6467468028152	24.4732034007666	24.6959674873621	26.4952058014926	26.3090035074412	26.3554144837082	26.2470677178262	25.9279400933989	25.5453186816941
AIPGENE10586	NA	NA	NA	NA	25.1150792622322	25.6321203028675	25.4504080729197	25.4838174923368	24.7330048759094	25.3064965676797	NA	NA	NA	NA	NA	NA
AIPGENE10587	2.6829567021681e-07	2.0278161121038e-06	2.63350383338116	27.0217196893268	28.504421230679	28.3026143592807	28.2203341778199	28.5513513655232	28.1017754216383	28.3503330811632	26.5768335826908	26.0461871101918	26.3521398008143	25.2299860500931	24.9871890594303	25.0374710325971
AIPGENE10606	9.07742339828345e-07	5.84190614741014e-06	2.06980844205742	26.0250643030491	27.2594104507757	26.8669882545277	26.9801762110728	26.9572284805398	26.6684292286655	27.0630853074149	25.1449573168461	24.9251512572894	NA	24.6403688864091	24.2828128587765	25.4870990812222
AIPGENE10618	3.89205220890276e-06	2.14392706422609e-05	4.12058972051171	28.7787120808707	29.343737990481	29.3983804619771	28.8708135552532	29.3949313377097	29.4365701421711	29.7597730437849	NA	NA	25.2467780347178	NA	NA	NA
AIPGENE10619	NA	NA	NA	NA	23.8064158319805	22.755473280193	22.8239125314562	21.486452505017	22.356249656596	NA	NA	NA	NA	NA	NA	NA
AIPGENE10623	NA	NA	NA	NA	25.2527149483139	25.3447476246645	25.3420270806645	25.3847082286835	24.9731163352426	25.9616721142615	NA	NA	NA	NA	NA	NA
AIPGENE10649	NA	NA	NA	NA	22.0856686580277	22.6374308270233	23.2026328959971	NA	23.1966440532891	NA	NA	NA	NA	NA	NA	NA
AIPGENE10659	6.75626265179836e-07	4.63711582771986e-06	3.69414123371205	27.2753297591257	28.8946538771201	28.8970166367308	28.8891883668315	29.076635182251	29.1513295282904	28.8180856009267	24.578450343402	26.1348497488111	26.6555658817717	NA	23.735474482747	25.1973777015001
AIPGENE10679	NA	NA	NA	NA	22.8444616031541	NA	23.5566584681198	23.0882140847059	22.6578242671794	22.4463081393347	NA	NA	NA	NA	NA	NA
AIPGENE10686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5655176851312	NA	NA	21.162534854775	NA
AIPGENE10708	NA	NA	NA	NA	NA	NA	NA	22.5578540544921	23.0319087757337	23.0501740369184	NA	NA	NA	NA	NA	NA
AIPGENE10716	0.00626491620472785	0.0125685047317071	-1.06589672694662	24.9098063672962	25.0846966842374	24.9337813303461	24.5603251303289	23.9697181680026	23.0935194500751	NA	25.5032990059796	25.6027625911661	25.1113930161053	25.4649491221449	25.1618686213959	25.521556920476
