Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE4058	17943102	0	14848545	0	0	0	17503314	0	0	0	1565193.8	0
AIPGENE407	0	0	0	0	0	0	6392672.5	3749539.5	27163800	35609796	18204512	16481400
AIPGENE4079	0	0	0	0	0	0	0	0	0	3479814.8	0	0
AIPGENE4095	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4097	0	0	0	0	0	0	0	0	0	4928298	0	0
AIPGENE4124	0	0	0	0	0	0	26985732	13399234	14143938	10976374	0	5613156.5
AIPGENE4135	0	0	0	0	0	0	0	9173920	0	6824053.5	0	0
AIPGENE4158	0	0	0	0	0	0	15807732	11830026	14068528	3935065.2	0	0
AIPGENE416	18536086	15004276	46265268	14971669	13885035	22000844	98080640	85919064	108463064	105048184	95510480	81892510
AIPGENE4172	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4205	0	0	7211547.5	0	0	0	58131384	63793376	81350220	155396830	30384628	20547904
AIPGENE4219	0	10886426	0	0	9393834	0	163382460	187609700	114726590	139236560	101401110	118796050
AIPGENE4225	0	0	0	0	0	0	10478367	3542021	23005924	55965640	0	0
AIPGENE4234	0	0	0	0	0	0	3257319.2	0	1871495.5	0	0	0
AIPGENE4246	0	0	0	0	0	0	78198136	0	119096100	12554183	8429186	0
AIPGENE425	132356130	119986984	244035070	43717056	9852230	51877490	192054750	165104560	146970380	132875040	81568800	110615190
AIPGENE4258	0	0	0	0	0	0	16861920	37647580	36997836	37530216	39254790	27843826
AIPGENE4301	12812047	13976892	19339798	0	0	7898834	12917984	8543240	0	0	8541720	12303460
AIPGENE4307	0	0	0	0	0	0	6226162.5	0	9687496	11139553	0	0
AIPGENE4321	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4324	0	0	9951794	0	1898840.5	0	0	0	0	8437008	4402422.5	9171075
AIPGENE4329	0	0	0	0	0	0	149241730	98103240	136983180	143667660	166137570	80666000
AIPGENE435	14305628	20437822	35842012	0	0	9684511	100155500	120302060	119549930	117204616	101311810	113839576
AIPGENE4359	0	0	0	0	0	0	10698015	12321401	13554686	10466703	30899316	23381740
AIPGENE4362	0	0	0	0	0	0	26001040	22035268	24035644	24301176	86357640	81710200
AIPGENE4371	0	0	0	0	0	0	0	0	0	0	4948883.5	0
AIPGENE4438	0	0	0	0	0	0	12179293	11703280	22923148	26670352	15785241	0
AIPGENE445	0	0	22068794	0	0	0	46947224	44057940	36947420	91863110	70438980	41068624
AIPGENE4457	130921550	242614080	375630340	49539350	110614100	128382344	269182270	319567100	169911740	192835890	152482980	266599840
AIPGENE448	0	0	0	0	0	0	0	0	0	0	2106879	0
AIPGENE4488	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4506	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4562	0	0	0	0	0	0	126743224	92741620	102699890	114031250	129821990	83135630
AIPGENE4571	0	0	0	0	0	0	61036884	93516376	55429296	108896330	48887316	24613966
AIPGENE4584	0	0	37357092	0	0	12314003	0	0	22083400	0	11674714	0
AIPGENE4589	0	0	0	0	0	0	0	0	0	0	7080141.5	0
AIPGENE459	0	19348564	0	17949834	13254143	15146249	0	18412498	23848650	0	0	0
AIPGENE4605	0	0	21631690	0	0	0	68266080	40143090	61570796	68720824	125988376	34814324
AIPGENE463	0	0	0	0	0	0	1407098	0	1425651.1	0	0	0
AIPGENE4648	0	0	15168017	0	0	0	74165624	39167156	52867550	59999410	61773212	247396210
AIPGENE4649	0	0	0	0	0	0	20439568	20303644	20794586	11917702	22145022	14597680
AIPGENE465	0	0	0	0	0	0	0	0	2733614.2	3790368.8	4381712.5	4951191.5
AIPGENE4650	0	0	0	0	0	0	0	0	0	0	2793503.8	0
AIPGENE4653	0	0	0	0	0	0	6134813	2634262.5	5011953.5	2131785.5	0	0
AIPGENE4655	0	0	0	0	0	0	0	0	0	13340152	9303359	0
AIPGENE4658	20790846	14162220	37104310	13375690	16520324	40044036	58267172	49237836	81669870	68176550	61961800	37388924
AIPGENE4662	15249510	16292212	101444430	0	0	0	344082370	220457260	283108260	239662670	239409490	221140940
AIPGENE4669	0	0	0	0	0	0	12594639	12859032	14172536	12750719	14780538	0
AIPGENE4676	2598450.5	0	0	0	0	0	22719060	18326426	15120440	13961987	17299884	6142433.5
AIPGENE4685	28503584	0	19592306	9571175	15935668	19563942	52373612	62206510	76131300	128047240	100982590	97606056
AIPGENE4692	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4693	0	0	0	0	0	0	6087449	0	0	0	0	0
AIPGENE4695	0	0	16969746	0	0	0	20809356	22962818	33092878	24207266	28845380	16035819
AIPGENE4709	0	0	0	0	0	0	81349110	110722330	87656380	130385840	126912020	57357750
AIPGENE4714	0	0	0	0	0	0	0	0	3220338.5	0	0	0
AIPGENE4719	0	0	0	0	0	0	6342840	0	0	0	7407323.5	0
AIPGENE4722	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE473	64743130	69719690	96084360	63974600	56205824	78686350	137334900	54278864	119675100	86791340	72666150	51639360
AIPGENE4753	0	0	0	0	0	0	19309078	35617108	16980910	29090700	6454428.5	22497234
AIPGENE4757	0	0	0	0	0	0	2220815	0	0	0	0	0
AIPGENE4758	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4763	0	0	0	0	0	0	12634220	7270692	19938784	29547594	23192884	13198944
AIPGENE4765	0	0	0	0	0	0	0	0	0	18617432	0	0
AIPGENE4766	0	0	0	0	0	0	69706960	89332590	86975256	85769270	59958216	27764860
AIPGENE4767	0	0	0	0	0	0	8660578	4447964.5	6358247.5	5941796	5046462.5	0
AIPGENE4768	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4774	0	0	0	0	0	0	12571319	11884771	10291633	9924273	6742876	0
AIPGENE4781	13740371	0	0	0	0	0	139157580	110958340	150664600	144289800	129096370	76741384
AIPGENE4788	35001390	21444906	43270924	13656062	10308387	13673027	15860086	6851332.5	6630628.5	7725119.5	38331024	0
AIPGENE479	0	0	0	0	0	0	25269622	13528204	12672509	12061169	19030678	0
AIPGENE4810	0	0	0	0	0	0	0	0	4302314	0	4646845.5	0
AIPGENE4822	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4828	0	0	0	0	0	0	168684240	83361810	122577370	145808900	116651700	62584520
AIPGENE4835	0	0	0	0	0	0	51511670	17156152	50108430	90398660	56067910	18421088
AIPGENE4839	0	0	0	0	0	0	0	0	0	0	0	8157178.5
AIPGENE4852	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4856	0	0	0	0	0	0	2130081	1023816.06	1074060.6	0	0	0
AIPGENE4866	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE4885	0	17907326	0	0	0	16008953	0	0	0	0	0	0
AIPGENE4893	8831360	10629429	0	0	0	0	11107844	11054007	0	13342772	9779755	7005846
