GO.ID	Term	Annotated	Significant	Expected	P_value
GO:1900176	negative regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry	1	1	0.06	0.05550
GO:0043419	urea catabolic process	1	1	0.06	0.05550
GO:0070885	negative regulation of calcineurin-NFAT signaling cascade	1	1	0.06	0.05550
GO:0032464	positive regulation of protein homooligomerization	1	1	0.06	0.05550
GO:0032417	positive regulation of sodium:proton antiporter activity	1	1	0.06	0.05550
GO:1900210	positive regulation of cardiolipin metabolic process	1	1	0.06	0.05550
GO:0036047	peptidyl-lysine demalonylation	1	1	0.06	0.05550
GO:0036049	peptidyl-lysine desuccinylation	1	1	0.06	0.05550
GO:0003131	mesodermal-endodermal cell signaling	1	1	0.06	0.05550
GO:0006042	glucosamine biosynthetic process	1	1	0.06	0.05550
GO:0035022	positive regulation of Rac protein signal transduction	1	1	0.06	0.05550
GO:0042144	vacuole fusion, non-autophagic	1	1	0.06	0.05550
GO:0014883	transition between fast and slow fiber	1	1	0.06	0.05550
GO:1901052	sarcosine metabolic process	1	1	0.06	0.05550
GO:0003251	positive regulation of cell proliferation involved in heart valve morphogenesis	1	1	0.06	0.05550
GO:0014835	myoblast differentiation involved in skeletal muscle regeneration	1	1	0.06	0.05550
GO:0031158	negative regulation of aggregate size involved in sorocarp development	1	1	0.06	0.05550
GO:0051343	positive regulation of cyclic-nucleotide phosphodiesterase activity	1	1	0.06	0.05550
GO:0010918	positive regulation of mitochondrial membrane potential	1	1	0.06	0.05550
GO:0051463	negative regulation of cortisol secretion	1	1	0.06	0.05550
GO:0097359	UDP-glucosylation	1	1	0.06	0.05550
GO:0036372	opsin transport	1	1	0.06	0.05550
GO:2000275	regulation of oxidative phosphorylation uncoupler activity	1	1	0.06	0.05550
GO:0071400	cellular response to oleic acid	1	1	0.06	0.05550
GO:0051122	hepoxilin biosynthetic process	1	1	0.06	0.05550
GO:0072229	metanephric proximal convoluted tubule development	1	1	0.06	0.05550
GO:0097475	motor neuron migration	1	1	0.06	0.05550
GO:0043519	regulation of myosin II filament organization	1	1	0.06	0.05550
