Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE9539	63203632	76025648	148460384	22609580	33101310	33516656	5835383	0	0	3569934.8	11422532	2068935.9
AIPGENE9543	27010908	39565004	59201704	18075548	0	13248185	333599296	392947072	472944192	583557440	509009568	514432800
AIPGENE9554	0	0	15248793	0	0	0	226848896	223973168	293328384	260404048	389526368	315332448
AIPGENE9623	0	0	0	0	0	0	0	0	0	6802178.5	9382828	0
AIPGENE9631	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE9678	0	0	19329780	0	0	0	11552001	7889114.5	0	0	0	0
AIPGENE9691	0	14726089	30162494	0	4609528.5	0	36803296	42027756	44831712	46848276	33088896	38611304
AIPGENE9704	10931257	0	13712070	0	0	0	21975004	9419438	10240445	0	5006434	4859723.5
AIPGENE9707	125124600	114529640	182504832	20669372	0	16675508	409739200	218443984	177969648	197978672	139740720	137639936
AIPGENE9742	0	0	0	0	0	0	0	0	4314884.5	3511973.2	0	0
AIPGENE9743	0	0	0	0	0	0	4864684	0	0	5381491.5	5051692	9056652
AIPGENE9745	0	0	0	0	0	0	4578319.5	0	6011327.5	0	6326569.5	0
AIPGENE9749	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE9755	0	0	0	0	0	0	668593.94	0	0	6598553.5	5142944.5	0
AIPGENE9767	0	0	0	0	0	0	0	5159346.5	0	0	0	0
AIPGENE9774	7537071	25961328	18247162	0	0	0	0	0	0	0	0	0
AIPGENE9775	13203590	50820552	131675600	40230464	37098140	42951728	6370666.5	6045697	4285375.5	0	0	0
AIPGENE9779	19429888	16990600	53692172	10480774	13939001	14324008	0	0	0	0	0	0
AIPGENE9787	0	0	0	0	0	0	2333955070	2673551100	2029561470	2028055680	2300460800	2310042620
AIPGENE9797	0	0	0	0	0	0	168289680	107056816	226679552	199021968	280106208	81992048
AIPGENE9804	0	28427828	87146624	0	0	0	979522880	961067200	957370370	928975870	955692800	691300800
AIPGENE9806	0	0	0	0	0	0	44809628	8783109	56177840	30115510	62554040	0
AIPGENE9810	0	0	0	0	0	0	6236626	39634112	15264282	45339256	17342880	11566878
AIPGENE9824	0	0	0	0	0	0	3061402.8	0	0	0	0	0
AIPGENE9828	0	0	20377794	0	0	0	41961988	37299512	32406700	51327396	56734964	30884432
AIPGENE9840	0	0	0	0	0	0	3588962	5164966	8249941	16232046	5262359	0
AIPGENE9847	0	0	0	0	0	0	0	10945255	0	11301935	13069455	0
AIPGENE9850	0	0	21549334	0	0	0	43163516	38286540	45083608	94534088	72683120	60466432
AIPGENE989	23688800	13618132	0	9319951	6678310	0	111284240	17902986	120602648	162684144	135907168	84767592
AIPGENE9890	553740740	532045280	1168854270	720676740	501776992	452668096	6085874200	6072322000	7314200100	6708488700	5775042600	6053777900
AIPGENE9904	0	0	0	0	0	0	17536644	0	17510470	8964154	9945912	0
AIPGENE9906	0	0	0	0	0	0	20008176	0	0	0	0	0
AIPGENE9926	50365248	99963680	189952016	36025540	23780896	46998056	56184196	44707416	64514384	52035420	61911920	59492376
AIPGENE9932	18179364	0	73888032	0	29642954	0	58012496	61808488	53011736	64722072	58443288	45494816
AIPGENE9970	0	0	45295000	0	0	0	2624365.5	0	5204197	0	0	0
AIPGENE9971	261787840	291832960	463953600	185989024	257080160	223905168	119465648	201283632	117430048	144109216	202836096	99344064
AIPGENE9995	0	0	0	0	0	0	3553281.5	0	0	0	0	0
