Protein.ID	Symbiosome_1.Intensity	Symbiosome_2.Intensity	Symbiosome_3.Intensity	Symbiosome_4.Intensity	Symbiosome_5.Intensity	Symbiosome_6.Intensity	Control_1.Intensity	Control_2.Intensity	Control_3.Intensity	Control_4.Intensity	Control_5.Intensity	Control_6.Intensity
AIPGENE18393	0	0	0	0	0	0	4313343	0	14780199	16909432	6500417	0
AIPGENE18402	0	0	0	0	0	0	156284075.7	114202990.8	159787649.7	158785305	139466578	107254068
AIPGENE18421	44370834	52665950	53231432	21214289	31955323	5794514	36164829.5	18313182	17011982	69511719	77436270	64907794
AIPGENE18435	0	0	0	0	0	0	2581377	15775020	22404794	15349434	17453222	0
AIPGENE18439	0	0	0	0	0	0	6710538.5	7010708.5	5542959.5	6366704	12806145	0
AIPGENE18441	0	0	0	0	0	0	3221919.8	3244397.2	11446399.7	2561012.2	6661571.5	0
AIPGENE18453	0	0	0	0	0	0	0	0	0	11690852	14820968	0
AIPGENE18455	0	0	0	0	0	0	8038477	2572958.8	0	4741521	4477871	9827682
AIPGENE18464	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18468	0	0	0	0	0	0	7730018	0	5714922.5	6323284.5	0	0
AIPGENE18470	0	0	0	0	0	0	60804528	49883908.5	68877387.5	91595187	81941736.8	17278678.4
AIPGENE18473	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18476	0	0	0	0	0	0	11616748	5991915	14009193	9701784	7286114.5	0
AIPGENE18477	25816573	0	10254148	0	0	7023762.5	0	0	0	0	0	0
AIPGENE18483	0	0	0	0	0	0	0	5789450.5	8683965	8609839	0	0
AIPGENE18500	0	0	0	0	0	0	12030381	5721652	22949474	22060022	25512272	8925269
AIPGENE18508	0	0	0	0	246820430	332332030	68445140	57831064	101459312.5	83937500	59016022.5	88652210
AIPGENE18514	0	0	0	0	0	0	13240759	9948206	0	10377167	11114763	4319248.5
AIPGENE18533	523407769	515660537	1097142623	585224286	339891308.5	436161116	312604398.5	278208010.5	345782635.8	361809133	468074466	299592317.7
AIPGENE18542	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18555	0	0	0	0	0	0	11630821	7660768	11634072	9566946	8476429	9161892
AIPGENE18556	0	0	0	0	0	0	14810861	8218364.5	0	25979286	10964189	0
AIPGENE18558	0	0	0	0	0	0	0	0	0	15719755.5	6276833.5	0
AIPGENE18572	0	0	0	0	0	0	0	21807723	16843496	19495256	7695105.5	14940142
AIPGENE18576	0	0	0	0	0	0	32924804	47822076.3	35936082.5	111125959	104764101	23782546.5
AIPGENE18589	0	0	0	0	0	0	148958002.6	97483570	114783377.3	138371380	148975986	107286254
AIPGENE18593	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18598	0	0	0	0	0	0	9874573	2666495.8	12014327	32535143	15652061	16856912
AIPGENE18609	15642924	12478530	0	14004020	0	0	0	0	0	0	0	0
AIPGENE18615	23459920	78936673	123419834	15920938	16698198	46081675	20471716	43560988	16632770	75885532	50408968	55661194
AIPGENE18616	0	0	0	0	0	0	3419834	0	0	0	0	0
AIPGENE18684	0	0	0	0	0	0	10537518	9692558	8191010	0	10063280.3	0
AIPGENE18693	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE187	0	0	0	0	0	0	120868690.2	128570087.5	111884564.9	111916741.5	91339410.5	72901254
AIPGENE1870	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE1871	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18740	0	0	0	0	0	0	18248257.5	17851259.5	23950381	17772047	25854081	23596081
AIPGENE1875	0	0	0	0	0	0	16065427.5	18716684	20348532	8478709	12333990	14673154
AIPGENE18762	0	0	0	0	0	0	3617417.5	3648838.2	6484972.5	6786337.5	4507988	0
AIPGENE18779	0	0	0	0	0	0	0	0	0	0	9654290	0
AIPGENE18788	0	0	0	0	0	0	51571051	32529422	21285115	66511404	45335886	20445098
AIPGENE18791	2604277.5	0	13529632.5	0	0	0	62094567.5	23939908	64963918.5	93800326.5	28865049.1	20398823.5
AIPGENE1882	0	0	0	0	0	0	0	0	0	0	0	0
AIPGENE18835	0	0	0	0	0	0	38551089	41425717	48459911	61840965.5	39560629	30724080
AIPGENE18841	0	0	0	0	0	0	0	0	0	0	0	0
